City,Latitude,Longitude,Restaurant_Count,Province
Kortemark,51.0309454,3.0438624,1,Vlaams Gewest
Koersel,51.05844,5.27176,1,Vlaams Gewest
Knocke-Heist,51.3411792,3.2870914,1,Vlaams Gewest
Kiel,51.19024539999999,4.3786055,1,Vlaams Gewest
Kester,50.76428,4.11935,1,Vlaams Gewest
Kessel-lo,50.88514,4.73571,1,Vlaams Gewest
Kessel-Lo (Leuven),50.88514,4.73571,1,Vlaams Gewest
Kasterlee,51.2408811,4.9664674,1,Vlaams Gewest
Kapelle-op-den-Bos,51.0111319,4.3608915,1,Vlaams Gewest
Kanne,50.814055,5.6693136,1,Vlaams Gewest
Jeuk,50.73427,5.20969,1,Vlaams Gewest
Ittervoort,50.503887,4.469936,1,Région Wallonne
Itegem,51.10321,4.72927,1,Vlaams Gewest
Hove,51.15417960000001,4.4724334,1,Vlaams Gewest
Houthalen-Oost,51.020885,5.469392,1,Vlaams Gewest
Hoogstraten-Meerle,51.4733516,4.803769,1,Vlaams Gewest
